country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
4,0,0,0,2,0,0,0,0,0,165,0,0,0,0,0,0,0,3,515,126,160,361,368,105,31,127,50,57,179,155,607,571,855,1212,1741,3527,5217,5205,5698,6116,7239,17583,17850,24335,28641,27178,26286,39739,34873
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,5,0,64,196,18,28,2,1,0,1,0,0,0,0,0,3,0,0,0,1,11,8,6,1,0,3
6,0,0,3,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,12,229,1225,1864,2500,2834,15003,4040,1890,2035,2278,2369,1020,790,1066,1047,1620,1246,943,651,132,266,385,156,98,42,69,77,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,42,90,0,10,8,1206,618,24,385,28,589,294,1183,304,399,410,192,64,141,900,1268,613,3094,200,0,0,0,0,0,0,7,21,0,0,0,0,0,2,438,0,19
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,58,30,43,140,164,449,536,60,91,71,7,2,14,26,57,69,61,152,80,135,35,37,370,538,17,34,22,0,3,0,3,0,3,0,3,0,0,0,3,15,1,4,8,3,1,4,9,9,7
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,95,27,7,0,3,26,2,5,0,0,0,0,0,3,0,4,0,0,0,2,0,3,23,0,1,0
14,1,1,11,0,1,0,0,0,19,11,15,4,5,0,0,0,27,0,5,2,0,4,11,26,5,14,27,18,0,3,4,0,0,0,0,2,0,1,1,3,0,0,1,39,40,22,37,14,4
15,0,0,24,2,1,27,10,11,3,13,10,32,11,0,11,66,6,5,2,11,3,3,9,8,36,5,1,1,0,0,0,0,0,0,0,1,3,13,17,0,3,0,5,0,0,9,9,5,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,620,205,2,8,4,0,0,4,19,2,0,0,0,0,3,30,7,0,0,0,0,8,0,6,19,2,0
17,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,4,13,55,28,0,0,0,0,0,3,0,0,3,0,6,0,4,1,89,146,150,65,12,93,4,0
19,0,0,0,0,0,0,0,2,0,1,99,21,5,0,4,14,436,88,465,627,354,707,872,815,1071,1891,408,7,292,92,450,510,28,530,563,141,22,96,131,105,54,78,414,506,1773,451,195,133,185
20,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,5,1,12,0,1,3,17,59,34,121,5,21,13,75,5,4,12,22,8,9,14,21,1,0,14,7,8,0,0,5,28,0,0,0,3,0,1,0,0,7,0,19,0,390,11,26,3
532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0,0,5,0,0,1,0,0,0,0,0
26,1,2,0,0,1,0,1,3,5,23,127,9,46,32,22,15,7,50,17,46,62,62,67,32,2,1,23,0,0,0,0,0,3,0,1,0,11,0,12,0,0,3,0,0,0,0,0,98,3
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,23,15,51,125,28,22,18,4,5,3,0,4,1,9,22,3,10,2,0,3,7,32,0,0,5,0
29,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,16,13,2,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,13,3,4,19,0,0,8,2,9,20,83,26,85,22,6,1,47,12,2,8,20,77,118,68,102,93,138,6,4,2,8,1,1,0,0,19,0,0,0,0,0,4,9,11,16,5,4,55,15
31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,5,5,4,6,11,44,3,5,1,18,3,4,0,0,0,0,0,4,0,0,4,58,3,3,4,2,0,2,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,188,242,254,595,2863
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,204,969,2132,4434,1744,1324,410,345,614,277,404,55,63,124,18,141,0,140,185,44,33,18,1035,552,224,206,98
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,3,0,0,0,0,2,0,51,0,6,203,5,0,0,0,0,0,0,0
36,0,18,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,2,69,409,802,217,243,602,121,35,69,34,16,4,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,29,111,18,0,0,5,0,0,0,0,0,0,0,0,94,10,1,20,15,0,24,2478,3389,1214,1135,1448,1344
38,5,0,14,0,1,0,0,0,0,0,3,0,20,1,0,998,7,0,0,62,0,0,7,9,9,2,3,11,4,39,0,0,0,4,0,6,0,22,8,4,0,3,4,30,13,48,83,99,13
41,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,20,4,12,0,7,0,0,0,4,22,0,0,0,0,14,4,5,135,178,113,64,461,2705,669,797,2103,1134,471
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,1,2,0,0,0,0,122,514,7,5,4,9,1,232,0,0,68,0,0,0,325,555,1537,4,1,0,0,0,19,1376,139,195,361,639
43,0,0,0,13,0,0,3,8,24,96,90,109,47,228,1120,586,511,367,481,295,243,211,189,22,25,18,18,3,7,6,5,2,6,0,0,2,20,8,13,16,17,6,20,66,1,52,49,119,66
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,17,1,54,163,226,237,233,302,69,9,94,23,26,21,41,0,0,299,623,38,97,125,269,1513,475,66,140,9,29
45,1,0,5,6,0,41,77,299,548,736,664,1368,1561,1670,2070,3724,2824,2693,4260,3407,3246,3238,2981,1004,2014,2758,4993,2118,1262,1722,2502,1976,1287,511,609,392,345,700,744,551,374,1173,876,1100,644,372,533,885,983
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,0,1,10,0,326,0,1,96,34,0,0,0,0,0,0,0,0,0,12,0,0,133,0,0,0
